"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Performable","Performable","","","",0,*,"","","","null {[]} {[]}
","Performable","Abstract pattern for elements that have a performance lifecycle","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Performable.performancePeriod","Performable.performancePeriod","","","",1,1,"","","","Period {[]} {[]}
","Time period during which the element is performed","Time period during which the element is performed","","","","","","","","","",,,,,"",,,,"Performable.performancePeriod",1,1,"",""
"Performable.status","Performable.status","","","",1,1,"","","","code {[]} {[]}
","Current performance status","Current performance status","","","","","","","","","",,"required","","http://hl7.org/dam/ValueSet/performance-status-vs","",,,,"Performable.status",1,1,"",""
